,cell_size,PanKeratin,SUN2,Background,Fe,Vimentin,BetaTubulin,Ta,ECadherin,CD4,Au,AR,GLUT1,CD3,SMA,Ca,HER2,LaminAC,P,CD8,Na,C,CD45,CD9,BetaCatenin,Ki67,CD20,NaK ATPase,HH3,ER,Membrane,Si,HLA_Class_1,label,area,eccentricity,major_axis_length,minor_axis_length,perimeter,point
123,894.0,4.57576218910642,4.028381531843061,4.674399262544905,0.0,3.854918220219998,5.7251882557190665,6.747209726389147,4.1483078794056985,3.08965308420768,7.392333770055478,3.3558591677672767,4.343422054870058,2.461164110908066,4.605270170991424,6.748784525528902,4.3258323377043775,1.8928613163962176,5.036442638853064,2.875245731630342,6.806860280044769,7.209598901215324,3.257683392293448,3.8260966844945536,4.258553842069709,4.402658889835499,2.4225328069558083,4.016365050894478,7.4136024496337,2.9711491513781616,8.787066643734246,4.86397366521974,3.55966702990812,273,894,0.8291796520866132,46.06044400565714,25.746968514786087,121.84062043356596,Point8_normalized_transformed
124,56.0,3.0668958429776607,4.268893891767964,4.5689100690542235,0.0,3.912422765641256,1.9851604922934485,7.812551795151322,3.6715082536732537,1.9851604922934485,8.572763078363595,2.664124409122045,3.220471998464453,2.380177404683875,4.531178169995164,8.077580292236872,0.0,3.353629972663141,4.3176658439254005,3.353629972663141,8.067552355002869,6.878768801795782,3.0668958429776607,3.0668958429776607,3.576333848425936,3.576333848425936,2.664124409122045,0.0,6.652864694281552,3.353629972663141,0.0,7.259418176033955,2.380177404683875,274,56,0.449594822607422,8.92163467537042,7.969095026134063,25.313708498984763,Point8_normalized_transformed
125,1738.0,5.314323654539784,4.567758906310441,4.609861687557658,0.0,3.682005330589326,6.01927366833562,6.783551915160163,4.480442203030608,2.871475426031941,7.479885230410685,3.5879850826269584,4.44190950871593,2.562292382881196,4.511245700897102,6.254982587666361,4.0607004850641415,0.1717663281922516,4.59136778353943,3.0973646720074064,6.5286395028031565,7.0803448724878155,3.4483105638782003,3.6791062579525806,3.9204393717295374,3.4446482763166784,2.313566118680072,3.7464671602028856,7.185492197362574,2.993632333643792,8.533537640723045,4.9885749686580505,3.4298637917419024,275,1738,0.5420199440512117,51.67637207146835,43.42704660808376,159.29646455628162,Point8_normalized_transformed
126,881.0,5.194373979176935,4.868204551421479,5.459434559684147,0.0,4.44432372220935,6.028243299409798,5.334018898640965,4.45493100528266,3.5485255462783507,6.325179575951723,3.8210445887884035,4.288889124203523,3.27228885762962,5.121239190296094,6.588792526721026,3.911287955693453,3.850431073205504,5.1506117664256115,3.6055946271382715,6.8050409957522975,7.385814165525384,3.929292287580064,3.897568910971713,4.32257070480275,4.183918672907498,2.9742203555561315,3.8009630825448655,7.676622772690423,3.5485255462783507,8.482171638037162,5.1675712613970886,3.6055946271382715,277,881,0.610510973615049,38.30949801542093,30.34142114156147,117.49137802864846,Point8_normalized_transformed
127,60.0,3.2848176389328123,4.867593616801988,4.841621285095977,0.0,4.700563000177195,4.2952011562525625,5.983102652860247,3.769454281263634,1.918896472098531,6.914400808498169,3.2848176389328123,3.151714648239221,2.3124383412727525,4.571375632595821,6.6376965240901695,3.5074566847442554,4.700563000177195,4.841621285095977,1.918896472098531,6.531851093949566,6.450999369551891,2.816991430825444,3.4023066454805946,1.918896472098531,2.9982229502979703,3.151714648239221,3.6895038689889055,6.3744597048266325,1.918896472098531,8.226840961900463,5.314870854668269,3.4023066454805946,279,60,0.8162375786498337,11.490494247475517,6.638246735886653,27.556349186104043,Point8_normalized_transformed
128,908.0,4.4168078922432,3.921187803589165,4.443048665314514,0.0,3.1892524556069866,5.434068036120294,5.041048214496307,3.6117664549498687,2.518933387467373,5.920746727678595,3.4081502817209675,4.028653362120344,2.603440649033286,4.4168078922432,6.142468253612223,3.8298787727609382,2.3873693954732462,4.6504791328175745,2.8723047374995567,6.193690072813684,6.946637991708197,3.000412275741553,3.3558248345178208,3.6861985768101,2.8968436133985302,2.1127177766387137,3.1709666618329293,7.112941859391505,2.7254809048178754,8.177800473407624,4.230287848346569,2.9556932102930613,281,908,0.7151628118777544,41.25511027438714,28.83558543450509,120.98275605729687,Point8_normalized_transformed
129,1253.0,4.151721110457837,4.2788956529166065,4.7317714755288165,0.0,3.2903731674524828,4.439922608282793,7.265882171588602,3.65874689922554,2.9552277872833352,7.708972989373765,3.381114486854813,3.7565544225976137,2.9552277872833352,4.4786982473220025,7.023390841484594,3.011633181639892,1.2038043893150372,4.128860038268044,3.1436167839488816,6.667711533082433,6.458573382297312,3.3080245745798,3.210076263707384,3.4287636645429713,3.8179934704097347,2.476178327919206,1.2885763089670903,7.065571154916508,3.042498103601015,7.094060007074886,5.700329302272518,2.8687299269533644,282,1253,0.6882317317158269,47.50904974766733,34.467384486665466,143.77564927611039,Point8_normalized_transformed
130,897.0,4.385520709886052,4.325436601173156,4.70591918507733,0.0,4.172822228250634,3.5435228340754152,7.901873901049154,3.4769506057204884,2.8334593448349588,7.8994782952577625,2.97918578018544,3.3127727965990217,2.7375664817906538,4.95450979322763,7.586417033243727,0.22115818375713708,3.1644860580205147,3.6589805376138544,3.3368080311600883,7.302385689498948,6.1845093606591135,3.0863168966989685,2.859260303681445,3.262901655366764,3.288147219993834,2.6154979181850058,0.0,6.4668906588983095,2.944685319642096,3.12616214724595,6.395072669689855,2.9329169866147677,283,897,0.7060607696441602,40.393469436618794,28.604685779059647,115.63961030678928,Point8_normalized_transformed
131,1276.0,4.985283860595292,4.3735275132386215,4.369568375660667,0.0,3.0090814117634084,5.838040494792907,6.345474436812447,4.804910017656024,2.8596495122711687,7.0895549283733805,3.2662820446140053,4.589475263206062,2.3893803509507032,4.168094964539372,6.0859958939548005,4.0497689615934895,0.5918043928470824,4.570186119328687,2.9616959528533817,6.231089879253372,7.073217302168496,3.139142867323958,3.5900115536103328,3.817196474617275,3.37910250618756,2.2021823658344317,3.5275925517084383,6.904459320524907,2.571529428005169,8.441685685428657,4.547201646778769,3.4461653293993675,284,1276,0.4629681717925245,43.038594763197786,38.1483303371176,133.29646455628165,Point8_normalized_transformed
132,231.0,4.918548122720946,4.892908503694372,4.4511555894909955,0.0,5.294004181859475,3.5943246678773617,5.240422788187297,3.115963787777081,2.7503635762219467,6.282391606372598,3.036261497266347,3.617820476745562,2.349944221484421,5.935839836606503,6.481294370529819,0.0,4.173624845239691,4.918548122720946,2.9034334593546207,6.685694952658468,6.864405928677161,3.3834121890376743,3.036261497266347,2.6336591464179233,3.115963787777081,2.6936973662417087,0.0,7.555289336162225,2.6936973662417087,0.0,4.40992432926833,2.6336591464179233,285,231,0.4313771401304607,18.059890889437014,16.293122332336274,54.04163056034262,Point8_normalized_transformed
